ACO,AHS,SI,SRI,TODU,UI
0.59,3.26,21.01,28.32,3.18,60.1
0.57,3.13,21.61,20.89,3.89,65.71
0.61,3.02,12.57,25.99,3.98,63.19
0.61,3.14,17.61,28.52,4.16,66.24
0.63,3.75,35.32,27.18,3.6,58.36
0.66,3.24,14.73,27.95,4.1,59.58
0.71,2.77,11.61,39.91,4.36,64.64
0.77,2.74,10.71,48.36,4.87,67.88
0.84,3.02,8.2,42.15,5.85,56.86
0.74,2.84,7.94,38.14,4.97,62.44
0.67,2.93,12.72,51.3,3.54,68.67
0.64,3.87,27.33,43.9,4.31,59.49
0.73,3.16,18.7,30.27,4.54,57.76
0.86,3.42,14.52,32.18,4.82,63.06
0.66,3.54,3.82,34.45,4.04,47.73
0.64,3.49,8.73,43.32,4.6,59.36
0.5,2.76,11.4,75.32,3.4,75.81
0.58,2.91,58.43,62.2,4.65,75.26
0.53,1.83,8.32,82.53,3.02,83.66
1.11,3,11.49,67.31,9.14,38.21
0.7,2.94,17.95,64.01,4.3,55.51
0.8,3.19,8.1,51.16,4.24,52.44
0.77,2.61,4.67,59.15,5,59.38
0.96,3.24,6.82,48.51,5.93,46.51
0.86,2.95,10.43,47.44,5.11,51.17
0.92,2.95,6.53,57.34,5.84,58.6
0.8,3,3.37,62.6,4.7,62.4
0.79,2.71,10.1,73,4.54,67.23
0.91,3.46,14.36,33.96,5.51,41.29
0.75,3.38,17.94,43.67,5.1,56.64
0.83,3.11,9.38,52.74,4.7,54.02
0.76,3.2,3.02,52.29,5.17,58.35
0.87,3.24,12.75,43.42,5.41,47.78
1.16,3.6,16.49,45.94,6.46,51.21
0.9,3.02,2.8,61.53,6.03,54.92
0.53,3.09,62.53,49.37,4.79,58.63
0.75,2.46,6.92,87.38,4.83,65.67
0.78,3.36,16.34,55.85,6.3,59
0.69,2.94,9.51,50.15,4.94,61.09
0.96,3.27,4.25,67.01,6.01,48.39
0.86,3.32,3.85,62.18,6.39,50.04
1.09,3.29,7.54,45.58,5.82,46.47
1.15,3.58,3.41,60.85,6.25,26.36
0.9,3.09,3.62,55.59,6.13,43.58
1.02,3.02,2.17,75.73,6.7,35.89
1,3.33,3.78,57.84,7.1,28.28
1.32,3.58,2.42,79.69,7.89,25.37
1.06,3.17,7.2,57.01,7.8,31.97
1.02,3.35,9.17,50.93,8.02,38.17
0.98,3.43,9.86,49.75,7.2,34.69
0.82,3.31,7.61,36.36,5.14,46.98
0.94,3.21,47.73,62.27,5.56,36.27
0.9,3.52,4.17,42.64,5.74,26.15
0.62,3.92,11.36,21.66,6.77,24.08
0.77,3.02,8.73,49.18,4.94,51.39
0.93,3.37,15.08,34.74,7.64,44.54
0.75,4.5,16.44,26.21,7.25,44.8
